,latitude,longitude,borough,zipcode,spc_latin,tree_diameter,wires,sidew_crack_raise,latBin,lonBin,lonDistance,latDistance,avg_health_round,avg_health,landuseavg,numfloorsavg
118,40.745923,-73.995991,Manhattan,10001,tilia cordata,8,0,0,40.7455,-73.996,8.999999991488039e-06,0.00042299999999784177,2.0,1.5,2.0,5.0
119,40.745923,-73.995991,Manhattan,10001,ulmus americana,13,0,0,40.7455,-73.996,8.999999991488039e-06,0.00042299999999784177,2.0,1.5,2.0,5.0
120,40.745923,-73.995991,Manhattan,10001,ulmus americana,11,0,0,40.7455,-73.996,8.999999991488039e-06,0.00042299999999784177,2.0,1.5,2.0,5.0
121,40.75237985,-73.9939364,Manhattan,10001,gleditsia triacanthos,4,0,0,40.752,-73.994,5.444999999326683e-05,0.0003421699999961447,3.0,3.0,5.0,24.0
122,40.75239632,-73.9939761,Manhattan,10001,gleditsia triacanthos,4,0,0,40.752,-73.994,5.444999999326683e-05,0.0003421699999961447,3.0,3.0,5.0,24.0
123,40.75241279,-73.99396527,Manhattan,10001,zelkova serrata,6,0,0,40.752,-73.994,5.444999999326683e-05,0.0003421699999961447,3.0,3.0,5.0,24.0
124,40.75239632,-73.9939761,Manhattan,10001,gleditsia triacanthos,4,0,0,40.752,-73.994,5.444999999326683e-05,0.0003421699999961447,3.0,3.0,5.0,24.0
125,40.75239632,-73.9939761,Manhattan,10001,gleditsia triacanthos,3,0,0,40.752,-73.994,5.444999999326683e-05,0.0003421699999961447,3.0,3.0,5.0,24.0
126,40.75241279,-73.99396527,Manhattan,10001,zelkova serrata,7,0,0,40.752,-73.994,5.444999999326683e-05,0.0003421699999961447,3.0,3.0,5.0,24.0
127,40.75236338,-73.9938967,Manhattan,10001,gleditsia triacanthos,4,0,0,40.752,-73.994,5.444999999326683e-05,0.0003421699999961447,3.0,3.0,5.0,24.0
128,40.752327,-73.993787,Manhattan,10001,picea species,3,0,0,40.752,-73.994,0.00021300000000223918,0.00032699999999863394,3.0,3.0,5.0,24.0
129,40.75138,-73.994052,Manhattan,10001,pyrus calleryana,4,0,0,40.752,-73.994,5.199999999661031e-05,0.0006200000000049499,3.0,3.0,5.0,24.0
130,40.75138,-73.994052,Manhattan,10001,pyrus calleryana,5,0,0,40.752,-73.994,5.199999999661031e-05,0.0006200000000049499,3.0,3.0,5.0,24.0
131,40.752374,-73.9939,Manhattan,10001,ulmus americana,3,0,0,40.752,-73.994,0.00010000000000331966,0.0003740000000007626,3.0,3.0,5.0,24.0
132,40.752374,-73.9939,Manhattan,10001,pyrus calleryana,4,0,0,40.752,-73.994,0.00010000000000331966,0.0003740000000007626,3.0,3.0,5.0,24.0
133,40.752327,-73.993787,Manhattan,10001,ulmus americana,3,0,0,40.752,-73.994,0.00021300000000223918,0.00032699999999863394,3.0,3.0,5.0,24.0
134,40.752374,-73.9939,Manhattan,10001,picea species,3,0,0,40.752,-73.994,0.00010000000000331966,0.0003740000000007626,3.0,3.0,5.0,24.0
135,40.74617675,-73.99469123,Manhattan,10001,pyrus calleryana,5,0,0,40.746,-73.995,8.607999998844207e-05,0.0004154300000038802,3.0,2.8333333333333335,4.0,14.0
